Blog Titles,Blog Content
যেসব রোগ থাকলে করোনায় মৃত্যুঝুঁকি বাড়ে,"নভেল করোনাভাইরাসে বিশ্বজুড়ে আক্রান্ত হয়েছে ১ লাখ ১৪ হাজারের বেশি মানুষ। মৃতের সংখ্যা বেড়ে দাঁড়িয়েছে ৪ হাজার ২৬ জনে। 
আক্রান্তদের মধ্যে ৮০ হাজারের বেশি চীনা নাগরিক। মৃতদের মধ্যেও ৩ হাজার ১৩৬ জনই চীনের।,চীনের রোগনিয়ন্ত্রণ ও প্রতিরোধ কেন্দ্র মৃত্যুর ঘটনাগুলো বিশ্লেষণ করে যে ছক দিয়েছে, তাতে দেখা যায়– মধ্যবয়সীদের চেয়ে বয়স্কদের মৃত্যুর সংখ্যা ১০ গুণ বেশি।,করোনায় আক্রান্ত হলে শরীরে বিভিন্ন ধরনের সমস্যা দেখা দেয়। এতে রোগীর অনেক ধরনের শারীরিক সমস্যা হয়ে থাকে। তিলে তিলে আক্রান্তকে গ্রাস করে ভাইরাসের সংক্রমণ।,৫৬ হাজার আক্রান্তের ওপর পরীক্ষা চালিয়ে বিভিন্ন ধরনের অভিজ্ঞতা পাওয়া গেছে। ,পরিসংখ্যান বলছে, বিশ্বের মোট আক্রান্তের ৮০ শতাংশের মধ্যে সংক্রমণ তেমন গুরুতর নয়। তবে ১৪ শতাংশের মধ্যে সংক্রমণ ও তাদের শারীরিক পরিস্থিতি গুরুতর। বাকি ৬ শতাংশ আক্রান্তের অবস্থা অত্যন্ত সংকটজনক। ,আক্রান্তদের পরীক্ষা করে চিকিৎসকরা জানিয়েছেন, করোনাভাইরাস আক্রান্তের ফুসফুসের কর্মক্ষমতা দ্রুত নষ্ট করে দেয়। ফলে শ্বাস-প্রশ্বাস নিতে বেশ কষ্ট হয়। আর আক্রান্তদের ঘন ঘন জোরে জোরে নিঃশ্বাস নিতে হয়।,
বিশেষজ্ঞরা বলছেন, এক মিনিটে ৩০ বারের বেশি শ্বাস-প্রশ্বাস নিলে রক্তে পর্যাপ্ত অক্সিজেনের ঘাটতি দেখা যায়। যথাসময়ে সঠিক চিকিত্সা না হলে মস্তিষ্কে অক্সিজেন সরবরাহের ঘাটতি দেখা যায়। ফলে রোগী ধীরে ধীরে জ্ঞান হারিয়ে ফেলেন। ,এ সময় আক্রান্তের হার্ট, কিডনিসহ একাধিক অঙ্গ বিকল হতে শুরু করে। আর রোগী ধীরে ধীরে মৃত্যুর দিকে এগিয়ে যায়। 
বিশেষজ্ঞরা জানাচ্ছেন, ডায়াবেটিস, হাইপারটেনশন, হার্টের সমস্যা, ক্যান্সার, হাঁপানির মতো সমস্যা থাকলে করোনাভাইরাসে মৃত্যুর আশঙ্কা সবচেয়ে বেশি। 
আর শিশু ও বয়স্কদের ক্ষেত্রেও একইভাবে বিপজ্জনক করোনাভাইরাস।,তথ্যসূত্র: জিনিউজ,"
শিশুদের টিফিনে আলু স্যান্ডউইচ,"শিশুদের টিফিনে মুখে রুচি বাড়াতে খেতে দিতে পারেন রকমারি খাবার। শিশুদের জন্য মুখরোচক একটি খাবার হচ্ছে আলু স্যান্ডউইচ। 
এই খাবার যেমন স্বাস্থ্যকর, তেমনি খেতেও সুস্বাদু। আসুন জেনে নিই কীভাবে তৈরি করবেন আলু স্যান্ডউইচ।,উপকরণ,আলু ২টি (সিদ্ধ করে চটকে নেয়া), পেঁয়াজ কুচি ২ টেবিল চামচ, ক্যাপসিকাম কুচি ২ টেবিল চামচ, ধনেপাতা কুচি ১ টেবিল চামচ, মরিচের গুঁড়া আধা চা চামচ, চাট মসলা ১ চা চামচ, লবণ স্বাদমতো, পাউরুটি ৮ টুকরো, টমেটো সস ৪ টেবিল চামচ, পুদিনার সস ৪ টেবিল চামচ, টমেটো ১টি (স্লাইস), গোলমরিচ গুঁড়া পরিমাণমতো, পনির প্রয়োজনমতো, মাখন ভাজার জন্য।,প্রস্তুত প্রণালি,আলু চটকে পেঁয়াজ কুচি, ক্যাপসিকাম কুচি, ধনেপাতা কুচি, মরিচ গুঁড়া, চাট মসলা, লবণ দিয়ে ভালো করে মিশিয়ে নিন। 
এক টুকরো পাউরুটি বিছিয়ে টমেটো রস ও পুদিনা সস মেখে নিন। ১ টেবিল চামচ আলুর মিশ্রণ দিয়ে টমেটোর স্লাইস বসিয়ে দিন। ,সামান্য গোলমরিচ গুঁড়া ছিটিয়ে পনির কুচি দিন। এবার আরেক টুকরো পাউরুটি দিয়ে ঢেকে দিন। প্যানে মাখন গরম করে দুই দিক ভেজে নিন। 
মাঝখান থেকে কেটে গরম গরম পরিবেশন করুন আলু স্যান্ডউইচ।,,"
করোনা ঠেকাতে যে ৪ জিনিস হাতের কাছে রাখুন,"সারাবিশ্ব করোনাভাইরাসের কাছে অসহায় হয়ে পড়েছে। নভেল করোনাভাইরাসে বিশ্বজুড়ে আক্রান্ত হয়েছে ১ লাখ ১৪ হাজারের বেশি মানুষ। মৃতের সংখ্যা বেড়ে দাঁড়িয়েছে ৪ হাজার ২৬ জনে। ,করোনাভাইরাস প্রতিরোধে আপনার হাত থেকে শুরু করে ঘরও থাকতে হবে পরিচ্ছন্ন। ঘরে এমন কিছু জিনিস রাখা প্রয়োজন, যা দিয়ে দ্রুত জীবাণু দূর করা সম্ভব।,আসুন জেনে নিই করোনা প্রতিরোধে ঘরে যে চার জিনিস রাখবেন-,জীবাণুনাশক হ্যান্ডওয়াশ,করোনাভাইরাস প্রতিরোধে নিয়মিত জীবাণুনাশক হ্যান্ডওয়াশ দিয়ে হাত ধোয়ার পরামর্শ দিয়েছে বিশ্ব স্বাস্থ্য সংস্থা (হু)। প্রতিবার খাবার খাওয়ার আগে, বাইরে থেকে ঘরে ফিরলে, বাথরুম ব্যবহারের আগে এবং পরে জীবাণুনাশক হ্যান্ডওয়াশ দিয়ে হাত ধুয়ে নিন। ,জীবাণুনাশক ক্লিনিং স্প্রে,রান্নাঘরে প্রতিদিন খাবার তৈরির কারণে কক্ষটি দ্রুত নোংরা হয়। আর তাতেই জীবাণু বাসা বাধে। রান্নাঘর পরিচ্ছন্ন রাখতে জীবাণুনাশক ক্লিনিং স্প্রে ব্যবহার জরুরি।
এ ছাড়া বাথরুম, লিভিংরুম, ডাইনিংরুম এবং বেডরুমও পরিষ্কার করুন জীবাণুনাশক ক্লিনিং স্প্রে দিয়ে।,রাবার গ্লাভস,হাঁড়ি-পাতিল ধোয়া, টয়লেট পরিষ্কার বা ধুলা-ময়লা পরিষ্কার করার মতো গৃহস্থালি কাজের জন্য রাবার গ্লাভস ব্যবহার করুন। ,বক্সড টিস্যু,বাড়ির প্রতিটি ঘরে টিস্যু রাখুন। যাতে কাশি বা হাঁচির সময় হাত বাড়ালেই টিস্যু পাওয়া যায়। আর ব্যবহারের পর টিস্যু ঢাকনাযুক্ত ডাস্টবিনে ফেলুন।,"
করোনা রোগে মৃত্যুর ঝুঁকি কতটুকু,"শতাধিক দেশে ছড়িয়ে নভেল করোনাভাইরাস। তবে এই রোগ নিয়ে  বিশ্বজুড়ে আতঙ্কের রয়েছে অনেক মানুষ।  স্বাস্থ্য বিশেষজ্ঞরা বলছেন, কোভিড-১৯ রোগ হওয়া মানেই যে মৃত্য হবে এমন নয়। ,নভেল করোনাভাইরাসে বিশ্বজুড়ে আক্রান্ত হয়েছে ১ লাখ ১৪ হাজারের বেশি মানুষ। মৃতের সংখ্যা বেড়ে দাঁড়িয়েছে ৪ হাজার ২৬ জনে।
আক্রান্তদের মধ্যে ৮০ হাজারের বেশি চীনা নাগরিক। মৃতদের মধ্যেও ৩ হাজার ১৩৬ জনই চীনের।,চীনের রোগনিয়ন্ত্রণ ও প্রতিরোধ কেন্দ্র মৃত্যুর ঘটনাগুলো বিশ্লেষণ করে যে ছক দিয়েছে, তাতে দেখা যায়– মধ্যবয়সীদের চেয়ে বয়স্কদের মৃত্যুর সংখ্যা ১০ গুণ বেশি।   ,তিন মাসে আগে চীনে নতুন এই করোনাভাইরাসের সংক্রমণ ঘটে। সে সময়ে যারা মারা গেছে, তাদের অধিকাংশেরই বয়স ৭০ বছরের বেশি। এ ছাড়া তাদের অন্য অসুখ ছিল। ,করোনায় মৃত্যুর ঘটনাগুলো বিশ্লেষণ করে বিবিসি জানিয়েছে– আক্রান্তদের প্রতি একশজনের মধ্যে একজন রয়েছে মৃত্যুঝুঁকিতে।,যুক্তরাজ্যের স্বাস্থ্য সচিব ম্যাট হানকক বলেছেন, শতকরা দুজনের প্রাণ নিয়েছে কোভিড-১৯। তবে মৃত্যুহার বেশি হবে না। 
তিনি বলেন, বিশ্বে অনেক রোগে মানুষের মৃত্যু হয়েছে। তার তুলনায় করোনাভাইরাসে মৃত্যু এখনও অনেক কম।,বিশ্ব স্বাস্থ্য সংস্থার হালনাগাদ তথ্য অনুযায়ী, বিশ্বে প্রতি বছর ৭০ লাখ মানুষ মারা যাচ্ছে হৃদজনিত রোগে। স্ট্রোকে মৃত্যুর সংখ্যা ৫০ লাখের মতো।
শ্বাসতন্ত্রে সংক্রমণে বিশ্বে বছরে মৃত্যুর সংখ্যা ৩৫ লাখের মতো। ডায়রিয়ায় মারা যায় ২০ লাখের বেশি মানুষ। এ ছাড়া যক্ষ্মা ও এইডসে মৃত্যুর সংখ্যাও ২০ লাখের কাছাকাছি।,"
করোনা কি ফ্লু থেকেও ভয়াবহ?,"নভেল করোনাভাইরাসে বিশ্বজুড়ে আক্রান্ত হয়েছে ১ লাখ ১৪ হাজারের বেশি মানুষ। মৃতের সংখ্যা বেড়ে দাঁড়িয়েছে ৪ হাজার ২৬ জনে।
আক্রান্তদের মধ্যে ৮০ হাজারের বেশি চীনা নাগরিক। মৃতদের মধ্যেও ৩ হাজার ১৩৬ জনই চীনের।,চীনের রোগনিয়ন্ত্রণ ও প্রতিরোধ কেন্দ্র মৃত্যুর ঘটনাগুলো বিশ্লেষণ করে যে ছক দিয়েছে, তাতে দেখা যায়– মধ্যবয়সীদের চেয়ে বয়স্কদের মৃত্যুর সংখ্যা ১০ গুণ বেশি।   ,বিবিসি বলছে, সর্দি-কাশি হলে আমরা সাধারণ চিকিৎসকের কাছে যাই না। তাই কোভিড-১৯ রোগটি সাধারণ ফ্লু থেকে বিপজ্জনক কিনা তা বোঝা কঠিন বটে। ,বিবিসি আরও বলছে, আর তাই এও জানা সম্ভব না যে, বছরে কতজন ইনফ্লুয়েঞ্জা অথবা অন্য কোনো নতুন ভাইরাসের কারণে ভোগেন। তবে প্রতি শীত মৌসুমে যুক্তরাজ্যে ফ্লু আক্রান্ত হয়ে অনেকের মৃত্যু হয়। ,বিজ্ঞানীরা বলছেন, পর্যাপ্ত তথ্য-উপাত্ত হাতে না পাওয়া পর্যন্ত বলা সম্ভব হচ্ছে না এই সময়ে কতজন মৃত্যুঝুঁকিতে রয়েছে।  তারা আরও বলছেন, রোগী বয়স, লিঙ্গ, অন্য রোগ আছে কিনা এবং রোগ প্রতিরোধ ক্ষমতা থেকে মৃত্যুঝুঁকি নিয়ে আপাতত ধারণা করা গেলেও নতুন এই ভাইরাস নিয়ে সুস্পষ্ট পরিসংখ্যান পাওয়াকে পিএইচডি করার মতো এক জটিল মনে করছে গবেষকরা।,যুক্তরাজ্যের ইমপেরিয়াল কলেজের একটি গবেষণার বরাত দিয়ে বিবিসি জানাচ্ছে, বিভিন্ন দেশে মৃদু ও সংকটাপন্ন রোগী শনাক্ত হচ্ছে বিভিন্নভাবে। আর এতে করে কোনো শারীরিক দশায় রোগী কী রকম ঝুঁকিতে রয়েছে, তা বোঝা কঠিন।,করোনাভাইরাস থেকে নিজেকে সুরক্ষিত রাখতে বিশ্ব স্বাস্থ্য সংস্থার পরামর্শ দিয়েছেন। তারা বলছেন, নিয়মি হাত ধোয়া, সর্দি-কাশি রয়েছে এমন ব্যক্তি সংসর্গ থেকে দূরে থাকা। এ ছাড়া চোখ-নাক এবং মুখে হাত দেয়া থেকে বিরত থাকতে হবে।,"
করোনা থেকে বাঁচতে ঘরেই তৈরি করুন হ্যান্ডওয়াশ,"সারাবিশ্বে ছড়িয়ে পড়েছে প্রাণঘাতী করোনাভাইরাস। করোনা থেকে বাঁচতে সবচেয়ে বেশি জরুরি হচ্ছে হাত ধোয়া। কারণ হাত থেকে বিভিন্ন রোগ শরীরে প্রবেশ করে। তাই হাত পরিষ্কার থাকলে এই যে কোনো রোগের ঝুঁকি কমে। ,তবে এখন প্রশ্ন হলো– হাত ধোয়ার জন্য কী ব্যবহার করবেন সাবান না হ্যান্ডওয়াশ।,গত কয়েক দিনে করোনার জন্য হ্যান্ডওয়াশ কেনার চাহিদা বেড়ে গেছে কয়েক গুণ। তবে আপনি চাইলে ঘরেই তৈরি করতে পারেন হ্যান্ডওয়াশ।
আসুন জেনে নিই কী উপকরণ লাগবে আর কীভাবে তৈরি করবেন?,উপকরণ,হার্ডওয়্যারের দোকানেই আইসোপ্রোপাইল অ্যালকোহলের মিশ্রণ কিনতে পাওয়া যায়। চেষ্টা করুন ৯১ শতাংশ আইসোপ্রোপাইল অ্যালকোহল বা রাবিং অ্যালকোহল রয়েছে, এমন মিশ্রণ কেনার। সঙ্গে কিনুন গ্লিসারিন বা অ্যালোভেরা জেল। গন্ধের জন্য প্রয়োজন কিছুটা অ্যাসেনশিয়াল অয়েলও।,যেভাবে তৈরি করবেন?,২-৩ কাপ আইসোপ্রোপাইল অ্যালকোহলের সঙ্গে ১/৩ কাপ গ্লিসারিন বা অ্যালোভেরা পানি মিশিয়ে নিন। সঙ্গে পছন্দের কোনো  অ্যাসেনশিয়াল অয়েল মেশান ২চা চামচ।,এই তিন রকম উপাদান ভালো করে মিশিয়ে ঝাঁকিয়ে নিলেই তৈরি হবে হ্যান্ডওয়াশ। 
এবার এই মিশ্রণ একটি শেষ হয়ে যাওয়া শ্যাম্পুর স্প্রে বোতলে ভরে রাখুন। হাত-পা ধোয়ার সময় এই মিশ্রণ ব্যবহার করুন। শেষ হয়ে গেলে একই নিয়মে ফের বানিয়ে নিন।,তথ্যসূত্র: আনন্দবাজার পত্রিকা,"
বিমান বাংলাদেশ এয়ারলাইন্সে নিয়োগ,"বিমান বাংলাদেশ এয়ারলাইন্স লিমিটেড আট পদে ক্যাজুয়েল ভিত্তিক জনবল নিয়ােগের বিজ্ঞপ্তি প্রকাশ করেছে।,পদের নাম: কার্গো হেলপার/ ট্রাফিক হেলপার
যােগ্যতা: কমপক্ষে এসএসসি পরীক্ষায় উত্তীর্ণ। অবশ্যই নম্র-ভদ্র, কর্মঠ ও সুস্বাস্থ্যের অধিকারী হতে হবে। অধিক ভার উত্তোলনে কমপক্ষে ১ বছরের অভিজ্ঞতা থাকতে হবে।,
পদের নাম: ক্লিনার
যােগ্যতা: কমপক্ষে অষ্টম শ্রেণি পাশ। টুলস/ ইক্যুইপমেন্ট ক্লিনার হিসেবে অভিজ্ঞ ব্যক্তিকে অগ্রাধিকার দেয়া হবে।,পদের নাম: এয়ারক্রাফট ক্লিনিং হেলপার (শুধু পুরুষ)
যােগ্যতা: কমপক্ষে এসএসসি পরীক্ষায় উত্তীর্ণ। শারীরিকভাবে সুস্থ ও সুঠাম দেহের অধিকারী হতে হবে।,পদের নাম: এয়ারক্রাফট সুইপার
যােগ্যতা: কমপক্ষে অষ্টম শ্রেণী পাশ। সংশ্লিষ্ট কাজে পেশাগতভাবে দক্ষ হতে হবে।,পদের নাম: পেন্ট্রিম্যান
যােগ্যতা: কমপক্ষে এইচএসসি পরীক্ষায় উত্তীর্ণ। পুরুষ প্রার্থীর উচ্চতা ৫ ফিট ৬ ইঞ্চি, মহিলাদের ৫ ফিট ৩ ইঞ্চি এবং সুঠাম দেহের অধিকারী হতে হবে।,পদের নাম: ডিস ওয়্যাশার
যােগ্যতা: কমপক্ষে এসএসসি পরীক্ষায় উত্তীর্ণ। পুরুষ প্রার্থীর উচ্চতা ৫ ফিট ৬ ইঞ্চি, মহিলাদের ৫ ফিট ৩ ইঞ্চি এবং সুঠাম দেহের অধিকারী হতে হবে।,পদের নাম: স্টোর হেলপার
যােগ্যতা: কমপক্ষে এসএসসি পরীক্ষায় উত্তীর্ণ। খ্যাতনামা প্রতিষ্ঠানে স্টোর হেলপার/লােডার হিসেবে ২ বছরের অভিজ্ঞতা থাকতে হবে।,পদের নাম: হাইজিন হেলপার
যােগ্যতা: কমপক্ষে এসএসসি পরীক্ষায় উত্তীর্ণ। ক্লিনিং কাজে কমপক্ষে ২ বছরের অভিজ্ঞতা থাকতে হবে।,আবেদনের নিয়ম: অনলাইনে bbal.teletalk.com.bd ওয়েবসাইটের মাধ্যমে আবেদন করতে হবে। আবেদন করা যাবে ১২ মার্চ সকাল ১০টা থেকে ২৬ মার্চ রাত ১২টা পর্যন্ত।,"
বিপাক প্রক্রিয়ায় প্রভাব ফেলে যেসব খাবার,"বিপাক এমন একটি রাসায়নিক প্রক্রিয়া, যা শরীরকে প্রতিনিয়ত সতেজ রাখে ও সব অঙ্গ-প্রত্যঙ্গকে কার্যকর করতে সহায়তা করে। ,চিকিৎসাবিজ্ঞানে বলা হয়, মেটাবলিজমের কারণে প্রাণীদেহ টিকে থাকে ও বেড়ে ওঠে। এটি প্রাণীর দেহের গঠন ঠিক রাখে। বোঝাই যাচ্ছে সুস্থভাবে বেঁচে থাকার জন্য মেটাবলিজম অনেক গুরুত্বপূর্ণ। ,লিঙ্গভেদে মেটাবলিজমের হার ভিন্ন হয়ে থাকে। এমনকি অনেক সময় শরীরের ওজনও মেটাবলিজমের হার ঠিক করে দেয়। আবার খাদ্যের ওপরও মেটাবলিজমের হার নির্ভর করে। ,আমরা প্রতিদিন অনেক রকম খাবার খাই। এসব খাবারের মধ্যে কোনগুলো মেটাবলিজমের হার কমিয়ে ফেলছে বিষয়টি হয়তো আমাদের জানা নেই। 
বিষয়টি হয়তো অনেকেরই অজানা। মেটাবলিজমের হার কমিয়ে ফেলে যেসব খাবার—,চিনির ক্ষতিকর দিক সম্পর্কে আমরা অনেকেই জানি না।  ,ওয়ার্ল্ড হেলথ অর্গানাইজেশন এবং আমেরিকান হার্ট অ্যাসোসিয়েশন প্রতিদিন ২৫-৩০ গ্রাম চিনি খাওয়ার পরামর্শ দিয়েছেন।
সম্প্রতি হোলিস্টিক হেলথ কোচ এবং টোটালি ফিট মামার প্রতিষ্ঠাতা কোর্টনি ডেয়লং বলেন, বেশিরভাগ মানুষ প্রতিদিন ৪৮ চা চামচ চিনি খাচ্ছে।  
তবে এখন প্রশ্ন হলো– চিনি না খেলে শরীরে মিষ্টির চাহিদা কীভাবে পূরণ হবে। ফলও মিষ্টি, তবে চিনির মতো নয়।,পরিশোধিত কার্বজাতীয় খাবার যেমন সাদা রুটি, সাদা ভাত প্রক্রিয়াকরণের সময় নির্যাস হারিয়ে ফেলে। ফাইবারের পাশাপাশি অন্যান্য পুষ্টিগুণও কিছুটা কমে যায়। এসব খাবার মেটাবলিজমের হার কমায়। ,তাই পরিশোধিত খাবারের চেয়ে সম্পূর্ণ কার্বসজাতীয় খাদ্যগ্রহণের পরামর্শ দিচ্ছেন পুষ্টিবিদরা। যেমন শস্য, শাকসবজি, ফলমূল, শিমের বিচি ইত্যাদি।
খাদ্য ভালোভাবে বিপাক না হলে শরীর প্রয়োজনীয় শক্তির জোগান দিতে পারে না। ,চিকিৎসকদের মতে, ডায়েট চার্টে ওমেগা-৬ ফ্যাটি অ্যাসিডযুক্ত খাবার রাখার প্রবণতা মানুষের বেশি। যেমন উদ্ভিজ্জ তেল, মুরগি ইত্যাদি। অধিকাংশ সময় স্বাস্থ্যকর ওমেগা-৩ ফ্যাটযুক্ত খাবার রাখা হয় না। ফলে প্রদাহ তৈরি হয়, বিপাকে প্রভাব ফেলে। এ কারণে ওমেগা-৬ ও ৩-এর মধ্যে ভারসাম্য রেখে খাবার খেতে হবে।,আবার দুধ জাতীয় খাবার সবসময় ভালোভাবে প্রক্রিয়াজাত করা হয় না। এসব খাবার প্রদাহের সৃষ্টি করে। তবে বাদাম দুধ খেয়ে দেখতে পারেন। অনেকেই আছে গম দিয়ে তৈরি খাদ্য খেতে পছন্দ করে। গমের রুটি খান। গম অন্ত্র, লিভার ও ইমিউনি সিস্টেমে প্রদাহজনিত চাপ তৈরি করে।,আর ডায়েটে প্রোটিনযুক্ত খাবার রাখাতে হবে অবশ্যই। শরীরে প্রোটিন সংরক্ষণে অনেক শক্তির প্রয়োজন হয়। খাবার খাওয়ার সময় প্রতিটি খাবার থেকে আপনি ২০-৩০ গ্রাম প্রোটিন পাচ্ছেন কিনা, সে বিষয়ে নিশ্চিত হওয়া প্রয়োজন। , সূত্র: দ্য হেলদি,"
যে ক্রিম বাড়ায় ক্যান্সারের ঝুঁকি!,"নারীরা খুবই ত্বক সচেতন। নিজেকে সুন্দর দেখাক কে না চায়। তবে অনেকে গায়ের রঙটা সৌন্দর্যের একটা মাপকাঠি মনে করেন। এটি কিন্তু মোটেও ঠিক নয়।  ,তাই অনেকেই নিজের গায়ের রঙ ফর্সা করতে বাজারে পাওয়া যায় এমন অনেক ক্রিম ব্যবহার করে থাকেন।  বাজারে পাওয়া এসব ফেয়ারনেস ক্রিম ব্যবহারে ত্বকে ক্যান্সার হতে পারে। এই ফেয়ারনেস ক্রিমেই লুকিয়ে রয়েছে ক্যান্সারের ঝুঁকি! এমনি তথ্য জানিয়েছেন চর্মরোগ বিশেষজ্ঞরা। ,বিশেষজ্ঞদের দাবি, ফেয়ারনেস ক্রিম থেকেই হতে পারে ত্বকের ক্যান্সার। এ ছাড়া ত্বকে অনেক সমস্যা দেখা দিতে পারে।  কারণ এ ধরনের ক্রিমে এমন কিছু রাসায়নিক মেশানো থাকে, যা আমাদের ত্বকের ক্ষেত্রে অত্যন্ত ক্ষতিকর। ,একাধিক পরীক্ষায় প্রমাণ মিলেছে, এ ধরনের ক্রিমে স্টেরয়েড, হাইড্রোকিউনিয়ন, ট্রিটিনিয়নের মতো ক্ষতিকর রাসায়নিক মেশানো থাকে, যা ত্বকের সংস্পর্শে এলে তার ফলে ক্যান্সার, ব্রণ সমস্যা, লিভারের সমস্যার মতো একাধিক সমস্যা বেড়ে যায়। এ ধরনের সমস্যা সাধারণত ২০-৩০ বছরের নারীদের মধ্যেই বেশি দেখা যায়। ,দিল্লির চর্মরোগ বিশেষজ্ঞ ড. নিতিন ওয়ালিয়া জানিয়েছেন, ১৪ থেকে ১৫ বছর বয়সীদের মধ্যে ফর্সা হওয়ার প্রবণতা বেশি। নিয়মিত যারা এ ধরনের ক্রিম ব্যবহার করেন তাদের ক্ষতির শঙ্কা বেশি।,তথ্যসূত্র: জিনিউজ, ,"
সুস্থ থাকতে পাতে রাখুন ৫ খাবার,"সুস্থ থাকতে অবশ্যই খাবারের প্রতি নজর দিতে হবে। কারণ সব খাবার যে আপনার শরীরের জন্য ভালো এমন নয়। যেসব খাবার খেলে আপনি সুস্থ থাকবেন তাই খাওয়া উচিত। ,তবে আমরা অনেকেই জানি যে কোনো খাবারগুলো আমাদের স্বাস্থ্যের জন্য ভালো।    জ্বর-সর্দি-কাশি খুব স্বাভাবিক ব্যাপার। তার উত্তর করোনার আতঙ্ক। অনেকে হয়তো ভাইরাল জ্বরেও ভুগছেন।,জ্বর কিংবা ফ্লু থেকে বাঁচতে প্রয়োজন ব্যালেন্স-ডায়েট। তাই পাতে রাখুন পুষ্টিকর খাবার।   কিছু খাবার রয়েছে যা শরীরে রোগ প্রতিরোধ ক্ষমতা বাড়ায়। বিশেষজ্ঞরা মূলত ৫ ধরনের খাবারের কথা বলছেন।,১. শাকসবজি শরীরের রোগ প্রতিরোধ ক্ষমতা বাড়ায়। তাই সব ধরনের শাকসবজি খাওয়ার অভ্যেস করুন। যেসব ফল বা সবজিতে বিটা ক্যারোটিন, ক্লোরোফিল থাকে, সেসব খান। ব্রকলি, বেরি, লাল বাঁধাকপি জাতীয় সবজি খান।,২. ভিটামিন সি জাতীয় ফল খেতে পারেন। বিভিন্ন সংক্রমণ রোগে থেকে রক্ষা করবে ভিটামিন সি। পাশাপাশি শরীরের কোষগুলোকেও সুরক্ষিত রাখে। তাই পাতিলেবু, কমলালেবু, পেয়ারা, আমলকী ইত্যাদি নিয়মিত খান।,৩. কাঁচাহলুদ খাওয়া শরীর রোগ প্রতিরোধ ক্ষমতা বাড়ায়। আর্থারাইটিস রোধেও কার্যকরী কাঁচাহলুদ। যাদের ঠাণ্ডা লাগার ধাঁচ আছে, দুধের সঙ্গে হলুদ মিশিয়ে খেলে তারা উপকৃত হবেন।,৪. ঠাণ্ডা লাগলে খেতে পারেন কাঁচা আদা বা আদা চা। দীর্ঘস্থায়ী ব্যথা, গলা ধরা, জ্বালানি কমাতে সাহায্য করে আদা। এতে দেহের অতিরিক্ত কোরেস্টেরলও কমে।,৫. প্রিরায়োটিক বা প্রোবায়োটিক উপাদান রয়েছে, এমন খাবার খেতে পারেন। দই, সয়াবিন জাতীয় খাবার, ফাইবারযুক্ত খাবার রাখুন খাদ্যতালিকায়।,শুধু খাবার খেলে হবে না দুশ্চিন্তামুক্ত থাকতে হবে। আর সঠিক সময় ঘুমানো, পর্যাপ্ত পরিমাণ ঘু এবং দুশ্চিন্তা মুক্ত থাকাও জরুরি। ,তথ্যসূত্র: সংবাদ প্রতিদিন,"
